evt_block_number,evt_index,evt_block_time,floor_price_eth
12937694,11,2021-08-01T05:07:10+00:00,33.0324904558859752
12937777,23,2021-08-01T05:22:52+00:00,34.0203183132354361
12937810,4,2021-08-01T05:31:46+00:00,34.6665957599457273
12937810,9,2021-08-01T05:31:46+00:00,34.3626866930459616
12937798,11,2021-08-01T05:28:40+00:00,35.1912738810796391
12937835,25,2021-08-01T05:36:55+00:00,34.7993484415591913
12937835,44,2021-08-01T05:36:55+00:00,34.5892022400605272
12937856,130,2021-08-01T05:43:21+00:00,34.2933122160209341
12937859,14,2021-08-01T05:43:50+00:00,33.6126349402216585
12937919,4,2021-08-01T05:58:53+00:00,32.1871137388853950
12937919,9,2021-08-01T05:58:53+00:00,31.8004663518207896
12937955,142,2021-08-01T06:06:20+00:00,31.6364762749209482
12937973,232,2021-08-01T06:10:26+00:00,31.8477022842010386
12937975,49,2021-08-01T06:11:03+00:00,32.6703713683000612
12937982,3,2021-08-01T06:13:36+00:00,33.4387244310563487
12938044,26,2021-08-01T06:31:42+00:00,33.2486372029869820
12938078,294,2021-08-01T06:38:58+00:00,33.3874281758995663
12938140,11,2021-08-01T06:54:11+00:00,34.2424408251165822
12938289,134,2021-08-01T07:28:05+00:00,35.2578456984288965
12938269,426,2021-08-01T07:24:01+00:00,34.8339557759279014
12938295,441,2021-08-01T07:30:12+00:00,35.6824018750010516
12938307,50,2021-08-01T07:32:47+00:00,35.0080505584090236
12938360,71,2021-08-01T07:44:58+00:00,34.7740132464229559
12938913,184,2021-08-01T09:45:34+00:00,35.0189306217882283
12938974,266,2021-08-01T09:58:34+00:00,34.7981765800180973
12939021,149,2021-08-01T10:09:26+00:00,34.9731685561974778
12939259,278,2021-08-01T11:05:43+00:00,35.0091796957757645
12939292,9,2021-08-01T11:11:17+00:00,34.0715458658530396
12939294,94,2021-08-01T11:11:36+00:00,33.2176838898975690
12939709,53,2021-08-01T12:52:40+00:00,33.0197149870205398
12939760,180,2021-08-01T13:03:26+00:00,33.2873960844561822
12940167,183,2021-08-01T14:24:51+00:00,33.0798395859500789
12940391,34,2021-08-01T15:22:10+00:00,33.3572962451921650
12940459,9,2021-08-01T15:39:07+00:00,33.5629379327444320
12940457,25,2021-08-01T15:38:38+00:00,33.2604171871779182
12940458,3,2021-08-01T15:39:03+00:00,33.4604651968415641
12940458,9,2021-08-01T15:39:03+00:00,33.9288424481740851
12940458,13,2021-08-01T15:39:03+00:00,33.9149649476152344
12940524,25,2021-08-01T15:53:41+00:00,33.2974442251760551
12940795,9,2021-08-01T16:50:39+00:00,33.1772730418492404
12940865,69,2021-08-01T17:06:58+00:00,33.1006853941759434
12941238,384,2021-08-01T18:32:27+00:00,33.2904766775088309
12941246,208,2021-08-01T18:34:23+00:00,33.2965331172159212
12941338,30,2021-08-01T18:54:30+00:00,33.4538477255435711
12941509,282,2021-08-01T19:30:14+00:00,33.6747015129312719
12941732,226,2021-08-01T20:19:32+00:00,33.7653839150946867
12941779,18,2021-08-01T20:30:19+00:00,33.9405733606432123
12941864,26,2021-08-01T20:51:20+00:00,34.6164607675406267
12941864,34,2021-08-01T20:51:20+00:00,35.4015819270406267
12941864,40,2021-08-01T20:51:20+00:00,34.9028742008947871
12942003,88,2021-08-01T21:20:56+00:00,34.1211069797597770
12942087,4,2021-08-01T21:40:48+00:00,33.3238575513538718
12942087,9,2021-08-01T21:40:48+00:00,33.2394700214548692
12942188,162,2021-08-01T22:02:59+00:00,33.5084148557850315
12942635,24,2021-08-01T23:55:25+00:00,33.1578122075650381
12942814,42,2021-08-02T00:34:14+00:00,32.8974110976155187
12942895,75,2021-08-02T00:51:43+00:00,32.6898505700817394
13014894,220,2021-08-13T05:26:55+00:00,43.8535319762863817
12942965,316,2021-08-02T01:08:01+00:00,32.5783616758245888
12943136,45,2021-08-02T01:41:25+00:00,31.9661423651603927
12943136,50,2021-08-02T01:41:25+00:00,31.7214887266417489
12943207,83,2021-08-02T01:58:00+00:00,31.5714418624106926
12943207,90,2021-08-02T01:58:00+00:00,31.7593021799655885
12943352,259,2021-08-02T02:32:39+00:00,31.9293044297649941
12943842,222,2021-08-02T04:22:51+00:00,31.6455193245245304
12943988,135,2021-08-02T05:00:55+00:00,31.4811928081550923
12944036,195,2021-08-02T05:09:26+00:00,31.7106045982806586
12944241,102,2021-08-02T05:56:10+00:00,30.8626146811139983
12944241,107,2021-08-02T05:56:10+00:00,30.6012764205730270
12944257,11,2021-08-02T06:00:07+00:00,31.3589589946219483
12944493,39,2021-08-02T06:51:37+00:00,31.5556681541819199
12944572,25,2021-08-02T07:11:42+00:00,31.3617711416019051
12944601,261,2021-08-02T07:17:28+00:00,31.6125265465146345
12944632,227,2021-08-02T07:24:13+00:00,31.3606937018247983
12944646,107,2021-08-02T07:27:22+00:00,30.9966520792425221
12944909,93,2021-08-02T08:33:25+00:00,30.7028320294831166
12944996,145,2021-08-02T08:50:27+00:00,30.7040152310664086
12944947,193,2021-08-02T08:40:48+00:00,30.5405234715280583
12945267,105,2021-08-02T09:52:28+00:00,30.4312186762253207
