,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=1756800,9.30414799426454,3.1560113733916184,1.785489876684872,1.3461730521183966,1.1104733223867589
t=1760400,9.338229195711023,3.1646026869336943,1.7897269011145496,1.3491924520908296,1.112884613477573
t=1764000,9.372402303781127,3.173206919454006,1.7939681723241758,1.3522142638580954,1.115297542918365
t=1767600,9.406667541757086,3.1818240908724027,1.79821369608716,1.3552384907524377,1.117712113075763
t=1771200,9.441025133395579,3.190454221123657,1.8024634781744222,1.3582651361022076,1.1201283263124346
t=1774800,9.475475302928805,3.1990973301575947,1.8067175243544393,1.3612942032319082,1.1225461849871161
t=1778400,9.510018275065567,3.2077534379391937,1.8109758403933083,1.364325695462238,1.124965691454657
t=1782000,9.544654274992345,3.216422564448626,1.8152384320547896,1.36735961611013,1.1273868480660476
t=1785600,9.579383528374345,3.22510472968142,1.8195053051003676,1.3703959684887996,1.1298096571684644
t=1789200,9.614206261356596,3.2337999536484725,1.8237764652892916,1.3734347559077777,1.1322341211052973
t=1792800,9.649122700565016,3.242508256376188,1.8280519183786388,1.3764759816729586,1.1346602422161882
t=1796400,9.684133073107448,3.2512296579065785,1.8323316701233532,1.3795196490866388,1.1370880228370681
t=1800000,9.719237606574845,3.259964178297311,1.8366157262763023,1.382565761447554,1.139517465300187
t=1803600,9.754436529042202,3.268711837621808,1.840904092588329,1.385614322050925,1.1419485719341531
t=1807200,9.789730069069762,3.2774726559693432,1.8451967748082936,1.3886653341884907,1.1443813450639624
t=1810800,9.825118455704034,3.286246653445154,1.849493778683128,1.391718801148556,1.1468157870110365
t=1814400,9.860601918478759,3.2950338501704604,1.8537951099578853,1.3947747262160228,1.1492519000932533
t=1818000,9.896180687416322,3.3038342662826112,1.8581007743757794,1.3978331126724295,1.1516896866249797
t=1821600,9.931854993028493,3.3126479219351443,1.862410777678242,1.4008939637959936,1.1541291489171064
t=1825200,9.96762506631765,3.321474837297889,1.866725125604967,1.4039572828616484,1.1565702892770795
t=1828800,10.003491138777909,3.3303150325570074,1.871043823893956,1.4070230731410778,1.1590131100089334
t=1832400,10.039453442396107,3.3391685279151453,1.8753668782815698,1.4100913379027564,1.161457613413321
t=1836000,10.075512209652981,3.348035343591442,1.8796942945025603,1.4131620804119849,1.1639038017875487
t=1839600,10.11166767352421,3.356915499821679,1.8840260782901375,1.4162353039309288,1.1663516774256029
t=1843200,10.147920067481504,3.3658090168583072,1.8883622353759941,1.41931101171865,1.1688012426181862
t=1846800,10.184269625493727,3.3747159149705803,1.892702771490368,1.42238920703115,1.1712524996527458
t=1850400,10.220716582027947,3.3836362144445946,1.8970476923620732,1.4254698931214005,1.1737054508135034
t=1854000,10.257261172050589,3.3925699355833867,1.9013970037185528,1.4285530732393785,1.1761600983814873
t=1857600,10.293903631028456,3.4015170987070276,1.9057507112859202,1.4316387506321044,1.1786164446345624
t=1861200,10.3306441949299,3.4104777241526696,1.9101088207890005,1.4347269285436788,1.181074491847458
t=1864800,10.367483100225856,3.4194518322746585,1.9144713379513765,1.4378176102153066,1.1835342422918003
t=1868400,10.404420583891014,3.4284394434445904,1.9188382684954313,1.4409107988853447,1.1859956982361384
t=1872000,10.441456883404834,3.437440578051424,1.9232096181423888,1.444006497789327,1.188458861945977
t=1875600,10.478592236752773,3.4464552565015003,1.9275853926123596,1.4471047101600036,1.190923735683802
t=1879200,10.515826882427152,3.4554834992186736,1.931965597624378,1.4502054392273669,1.1933903217091135
t=1882800,10.553161059428524,3.4645253266443827,1.9363502388964462,1.4533086882186916,1.1958586222784464
t=1886400,10.590595007266808,3.473580759237694,1.9407393221455802,1.456414460358567,1.1983286396454078
t=1890000,10.628128965961942,3.4826498174754192,1.9451328530878387,1.4595227588689252,1.2008003760606978
t=1893600,10.665763176045695,3.4917325218521666,1.9495308374383726,1.4626335869690767,1.2032738337721405
t=1897200,10.703497878562061,3.500828892880418,1.9539332809114698,1.4657469478757439,1.2057490150247112
t=1900800,10.741333315068847,3.509938951090634,1.9583401892205794,1.4688628448030876,1.2082259220605627
t=1904400,10.77926972763877,3.5190627170312707,1.9627515680783643,1.471981280962742,1.2107045571190516
t=1908000,10.817307358860278,3.528200211268927,1.9671674231967429,1.47510225956385,1.2131849224367683
t=1911600,10.855446451838915,3.5373514543883626,1.9715877602869116,1.4782257838130834,1.215667020247559
t=1915200,10.893687250198399,3.5465164669925855,1.976012585059399,1.4813518569146855,1.2181508527825553
t=1918800,10.932029998081527,3.5556952697029445,1.9804419032241012,1.4844804820704933,1.2206364222701995
t=1922400,10.970474940151739,3.5648878831592015,1.9848757204903142,1.4876116624799716,1.2231237309362704
t=1926000,11.009022321593822,3.574094328019558,1.989314042566777,1.4907454013402415,1.2256127810039064
t=1929600,11.04767238811523,3.5833146249608143,1.9937568751617079,1.4938817018461124,1.2281035746936366
t=1933200,11.086425385947164,3.5925487946783354,1.9982042239828397,1.4970205671901082,1.2305961142234003
t=1936800,11.125281561845727,3.6017968578862263,2.002656094737462,1.5001620005625007,1.2330904018085769
t=1940400,11.164241163093,3.611058835317329,2.0071124931324498,1.5033060051513325,1.2355864396620055
t=1944000,11.20330443749824,3.620334747723331,2.0115734248743027,1.5064525841424508,1.238084229994013
t=1947600,11.242471633398985,3.62962461587483,2.016038895669194,1.509601740719539,1.240583775012439
t=1951200,11.281742999662185,3.638928460561387,2.0205089112229797,1.5127534780641358,1.2430850769226582
t=1954800,11.321118785685194,3.6482463025916445,2.024983477241262,1.515907799355669,1.2455881379276046
t=1958400,11.3605992413973,3.657578162793322,2.0294625994294027,1.5190647077714874,1.2480929602277957
t=1962000,11.400184617260468,3.6669240620133534,2.0339462834925777,1.5222242064868778,1.2505995460213577
t=1965600,11.439875164270521,3.676284021117927,2.0384345351357913,1.5253862986751021,1.2531078975040453
t=1969200,11.479671133958615,3.6856580609925462,2.0429273600639286,1.5285509875074204,1.2556180168692688
t=1972800,11.519572778392009,3.6950462025421267,2.0474247639817795,1.53171827615312,1.2581299063081137
t=1976400,11.559580350175372,3.704448466691037,2.051926752594078,1.5348881677795383,1.2606435680093684
t=1980000,11.599694102451917,3.713864874383197,2.05643333160553,1.5380606655520936,1.2631590041595402
t=1983600,11.639914288904546,3.723295446582094,2.060944506720853,1.5412357726343116,1.2656762169428841
t=1987200,11.680241163757012,3.732740204270927,2.065460283644807,1.5444134921878487,1.2681952085414219
t=1990800,11.720674981775018,3.742199168452591,2.069980668082227,1.5475938273725163,1.2707159811349635
t=1994400,11.761215998267415,3.7516723601498043,2.074505665738053,1.5507767813463147,1.273238536901133
t=1998000,11.801864469087473,3.7611598004051565,2.0790352823173763,1.5539623572654508,1.275762878015387
t=2001600,11.842620650633602,3.770661510281169,2.0835695235254477,1.557150558284369,1.2782890066510353
t=2005200,11.88348479985123,3.7801775108603684,2.088108395067733,1.5603413875557695,1.2808169249792671
t=2008800,11.924457174233284,3.789707823245349,2.0926519026499304,1.5635348482306406,1.2833466351691678
t=2012400,11.965538031821673,3.79925246855884,2.097200051978008,1.566730943458281,1.285878139387742
t=2016000,12.006727631208479,3.8088114679437757,2.1017528487582386,1.569929676386324,1.2884114397999342
t=2019600,12.048026231536976,3.818384842563341,2.1063102986972204,1.5731310501607592,1.2909465385686505
t=2023200,12.089434092502918,3.8279726136010863,2.1108724075019163,1.576335067925962,1.2934834378547775
t=2026800,12.130951474355571,3.8375748022609084,2.1154391808796813,1.579541732824715,1.2960221398172043
t=2030400,12.172578637899148,3.8471914297672027,2.1200106245382977,1.5827510479982312,1.2985626466128428
t=2034000,12.214315844493518,3.856822517364872,2.1245867441859967,1.5859630165861804,1.301104960396645
t=2037600,12.256163356055959,3.866468086319413,2.129167545531502,1.5891776417267098,1.3036490833216283
t=2041200,12.298121435061919,3.876128157916974,2.133753034284045,1.5923949265564672,1.306195017538891
t=2044800,12.340190344546295,3.8858027534644135,2.1383432161533986,1.5956148742106278,1.3087427651976333
t=2048400,12.382370348104715,3.8954918942893677,2.1429380968499165,1.5988374878229141,1.311292328445178
t=2052000,12.424661709894428,3.9051956017403313,2.1475376820845504,1.6020627705256203,1.3138437094269881
t=2055600,12.467064694635997,3.91491389718668,2.152141977568885,1.6052907254496334,1.3163969102866862
t=2059200,12.509579567614018,3.924646802018769,2.1567509890151646,1.6085213557244562,1.3189519331660762
t=2062800,12.55220659467847,3.934394337647979,2.1613647221363297,1.6117546644782301,1.3215087802051597
t=2066400,12.594946042245933,3.9441565255067967,2.165983182646027,1.6149906548377597,1.3240674535421535
t=2070000,12.63779817730078,3.9539333870488527,2.1706063762586587,1.6182293299285302,1.3266279553135143
t=2073600,12.680763267396314,3.9637249437489617,2.1752343086893955,1.62147069287473,1.3291902876539488
t=2077200,12.72384158065596,3.973531217103279,2.179866985654219,1.6247147467992766,1.3317544526964404
t=2080800,12.767033385774564,3.9833522286292338,2.1845044128699294,1.627961494823833,1.3343204525722605
t=2084400,12.810338952019526,3.9931879998656914,2.189146596054193,1.6312109400688337,1.3368882894109912
t=2088000,12.85375854923178,4.003038552372964,2.1937935409255584,1.634463085653501,1.3394579653405434
t=2091600,12.897292447827544,4.012903907732899,2.198445253203486,1.63771793469587,1.34202948248717
t=2095200,12.940940918798965,4.02278408754891,2.203101738608377,1.640975490312809,1.3446028429754886
t=2098800,12.984704233715615,4.032679113446035,2.2077630028615958,1.6442357556200382,1.3471780489284972
t=2102400,13.028582664725613,4.04258900707105,2.212429051685503,1.6474987337321498,1.3497551024675905
t=2106000,13.072576484556881,4.05251379009247,2.217099890803476,1.6507644277626343,1.3523340057125797
t=2109600,13.116685966518324,4.062453484200635,2.2217755259399405,1.6540328408238936,1.3549147607817087
t=2113200,13.160911384500885,4.07240811110775,2.226455962820388,1.6573039760272632,1.3574973697916688
t=2116800,13.205253012979243,4.082377692547978,2.231141207171414,1.6605778364830384,1.3600818348576191
t=2120400,13.249711127012462,4.092362250277477,2.2358312647207343,1.6638544253004843,1.3626681580932023
t=2124000,13.294286002245608,4.102361806074449,2.240526141197215,1.6671337455878605,1.3652563416105616
t=2127600,13.338977914910593,4.112376381739226,2.2452258423308935,1.6704158004524423,1.3678463875203546
t=2131200,13.38378714182779,4.122405999094303,2.2499303738530148,1.6737005930005373,1.3704382979317735
t=2134800,13.428713960407165,4.132450679984413,2.2546397414960384,1.6769881263375064,1.3730320749525595
t=2138400,13.473758648649302,4.142510446276572,2.2593539509936815,1.680278403567781,1.3756277206890197
t=2142000,13.518921485146777,4.152585319860161,2.2640730080809326,1.6835714277948854,1.3782252372460424
t=2145600,13.564202749085418,4.162675322646938,2.2687969184940813,1.6868672021214528,1.3808246267271147
t=2149200,13.609602720245439,4.172780476571161,2.27352568797074,1.6901657296492427,1.3834258912343342
t=2152800,13.655121679002816,4.18290080358957,2.27825932224987,1.6934670134791654,1.3860290328684322
t=2156400,13.700759906330193,4.193036325681506,2.282997827071805,1.6967710567112952,1.3886340537287802
t=2160000,13.746517683798753,4.203187064848946,2.2877412081782746,1.7000778624448896,1.3912409559134145
t=2163600,13.79239529357883,4.2133530431165465,2.2924894713124293,1.7033874337784085,1.3938497415190438
t=2167200,13.83839301844126,4.223534282531715,2.297242622218864,1.7066997738095346,1.396460412641071
t=2170800,13.884511141759102,4.233730805164682,2.3020006666436412,1.7100148856351893,1.3990729713736028
t=2174400,13.930749947508383,4.243942633108527,2.306763610334315,1.7133327723515448,1.4016874198094689
t=2178000,13.977109720269262,4.254169788479231,2.311531459039952,1.7166534370540534,1.4043037600402344
t=2181600,14.023590745227972,4.264412293415774,2.31630421851116,1.7199768828374564,1.4069219941562183
t=2185200,14.07019330817732,4.274670170080158,2.321081894500105,1.7233031127958065,1.4095421242465016
t=2188800,14.116917695518323,4.284943440657451,2.3258644927605356,1.7266321300224798,1.4121641523989492
t=2192400,14.163764194261438,4.295232127355915,2.3306520190478093,1.7299639376102003,1.4147880807002204
t=2196000,14.21073309202775,4.30553625240695,2.335444479118916,1.7332985386510495,1.417413911235784
t=2199600,14.25782467705008,4.315855838065222,2.3402418787324852,1.736635936236488,1.4200416460899326
t=2203200,14.30503923817475,4.3261909066087485,2.345044223648833,1.739976133457375,1.422671287345799
t=2206800,14.352377064862353,4.336541480338858,2.349851519629963,1.7433191334039768,1.4253028370853666
t=2210400,14.39983844718915,4.346907581580302,2.3546637724396016,1.7466649391659903,1.4279362973894867
t=2214000,14.447423675848464,4.357289232681346,2.359480987843213,1.7500135538325594,1.4305716703378892
t=2217600,14.495133042151847,4.367686456013733,2.3643031716080243,1.7533649804922846,1.4332089580092022
