time,low,high,open,close,volume
2022-01-14 12:00:00,3197.82,3209.46,3202.93,3198.92,357.56312395
2022-01-14 12:05:00,3195.0,3201.81,3198.93,3199.19,394.93942805
2022-01-14 12:10:00,3188.34,3205.33,3199.19,3202.47,464.49607134
2022-01-14 12:15:00,3201.64,3221.11,3201.82,3217.89,586.5302129
2022-01-14 12:20:00,3215.26,3222.46,3217.69,3220.77,176.04145876
2022-01-14 12:25:00,3213.9,3221.2,3220.31,3214.02,199.45023532
2022-01-14 12:30:00,3213.24,3226.61,3213.69,3225.1,364.54611263
2022-01-14 12:35:00,3222.97,3229.09,3225.01,3227.19,339.74815905
2022-01-14 12:40:00,3221.66,3227.85,3227.13,3226.59,246.07414722
2022-01-14 12:45:00,3223.05,3231.85,3226.59,3227.45,356.88922004
2022-01-14 12:50:00,3220.82,3227.32,3227.32,3222.65,235.86972506
2022-01-14 12:55:00,3211.47,3222.22,3222.22,3212.85,236.74732196
2022-01-14 13:00:00,3206.92,3217.62,3212.66,3217.59,445.26169271
2022-01-14 13:05:00,3215.01,3223.73,3217.82,3220.22,282.08496972
2022-01-14 13:10:00,3218.01,3225.59,3220.57,3224.04,349.16055114
2022-01-14 13:15:00,3220.93,3229.93,3224.2,3222.35,247.10781352
2022-01-14 13:20:00,3221.49,3229.75,3222.23,3228.37,234.07746884
2022-01-14 13:25:00,3223.3,3229.76,3228.37,3227.26,288.06461411
2022-01-14 13:30:00,3221.58,3232.13,3227.26,3223.58,294.22764676
2022-01-14 13:35:00,3217.73,3224.28,3223.7,3219.81,314.19766551
2022-01-14 13:40:00,3218.04,3225.95,3219.36,3221.71,346.18015644
2022-01-14 13:45:00,3210.83,3227.82,3221.99,3213.83,269.10509568
2022-01-14 13:50:00,3205.02,3213.83,3213.83,3207.45,280.03421018
2022-01-14 13:55:00,3204.57,3211.6,3207.45,3210.59,256.2390492
2022-01-14 14:00:00,3204.8,3215.96,3210.72,3215.96,318.34475845
2022-01-14 14:05:00,3215.7,3227.45,3215.96,3226.66,288.3780159
2022-01-14 14:10:00,3222.11,3228.8,3226.62,3227.13,339.90448547
2022-01-14 14:15:00,3220.5,3234.92,3227.31,3221.43,445.1893091
2022-01-14 14:20:00,3216.05,3225.99,3221.43,3221.88,295.14193024
2022-01-14 14:25:00,3218.61,3225.76,3222.13,3219.69,362.44944673
2022-01-14 14:30:00,3207.71,3226.28,3219.87,3209.89,420.19203355
