,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=1148400,inf,1.923060206919318e+269,3.941625367132664e+134,1.5982053829708227e+89,1.5156298401106944e+66
t=1152000,inf,1.3343689505002952e+270,1.0383609233001538e+135,3.037760268436622e+89,2.4412754793178454e+66
t=1155600,inf,9.258701054176067e+270,2.735378446046685e+135,5.773938926359597e+89,3.9322313942859555e+66
t=1159200,inf,6.4241446486406695e+271,7.205806740106621e+135,1.0974599006980479e+90,6.333736375185932e+66
t=1162800,inf,4.4572983387430346e+272,1.8982085143160188e+136,2.0859453661481867e+90,1.0201864331883701e+67
t=1166400,inf,3.0925680623752473e+273,5.000360931345803e+136,3.964742612529801e+90,1.643227720632808e+67
t=1170000,inf,2.1456457830785698e+274,1.3172097322266152e+137,7.535722111776321e+90,2.6467603124273943e+67
t=1173600,inf,1.4886342726411688e+275,3.4698017491010123e+137,1.4322952955834393e+91,4.2631452669319285e+67
t=1177200,inf,1.03278340663708e+276,9.140091795548977e+137,2.7223131234419934e+91,6.86664048511276e+67
t=1180800,inf,7.165091962246701e+276,2.407645988137768e+138,5.174178601608292e+91,1.1060051588529784e+68
t=1184400,inf,4.970792011264302e+277,6.342067957914088e+138,9.834280434795836e+91,1.7814296009293068e+68
t=1188000,inf,3.448424696949139e+278,1.6705725951692278e+139,1.869139012677448e+92,2.869319098522939e+68
t=1191600,inf,2.39225384020089e+279,4.4004392110381653e+139,3.5525358003478925e+92,4.621550580845428e+68
t=1195200,inf,1.6595301952988153e+280,1.159105381693008e+140,6.75201157354756e+92,7.443809546718142e+68
t=1198800,inf,1.1512097737732667e+281,3.053135319085906e+140,1.2832927869800723e+93,1.1989511270934958e+69
t=1202400,inf,7.985740878510787e+281,8.042025210717603e+140,2.439024681865582e+93,1.931107259490134e+69
t=1206000,inf,5.539459895695788e+282,2.1182687753541795e+141,4.635584588999055e+93,3.1103553254466826e+69
t=1209600,inf,3.842475605673553e+283,5.5794702625630446e+141,8.810300168000968e+93,5.009706825587253e+69
t=1213200,inf,2.6653014095704982e+284,1.4696067890989812e+142,1.6744600321534485e+94,8.068881128694943e+69
t=1216800,inf,1.848728250231321e+285,3.8708435868717874e+142,3.1824146031975406e+94,1.2996099516377878e+70
t=1220400,inf,1.2823051611591155e+286,1.0195449961977965e+143,6.0483460365533705e+94,2.0932034765679437e+70
t=1224000,inf,8.894085328896488e+286,2.6853659944902957e+143,1.1495143732757598e+95,3.371386773423889e+70
