,timestamp,tick,secondsPerLiquidity,initialized
307,1625385219,-411352311190,53000261903136154846056,True
308,1625383537,-411221888910,52999750716137891507508,True
309,1625383501,-411219098154,52999739775155764587064,True
310,1625383319,-411204994428,52999675316261706793156,True
311,1625382733,-411159583530,52999468689136843632194,True
312,1625381858,-411091777155,52999160193616146952632,True
313,1625381808,-411087903155,52999142565300678570943,True
314,1625381792,-411086663475,52999136768587360522194,True
315,1625381786,-411086198601,52999134594819866253913,True
316,1625381745,-411083022003,52999119740741988753993,True
317,1625381735,-411082247483,52999116142004704282845,True
318,1625381700,-411079536978,52999103546424208633827,True
319,1625381576,-411069934418,52999058922081881191590,True
320,1625381576,-411069934418,52999058922081881191590,True
321,1625381507,-411064592231,52999034090794618340668,True
322,1625381497,-411063818671,52999030845380783114159,True
323,1625380863,-411014780673,52998825086143629753456,True
324,1625380565,-410991738419,52998729444396863320051,True
325,1625379575,-410915203499,52998411708392505034578,True
326,1625379307,-410894484955,52998325681395995080131,True
327,1625379031,-410873147947,52998236931739425010702,True
328,1625378933,-410865571763,52998205482535058098876,True
329,1625378691,-410846863227,52998127189666665773644,True
330,1625378557,-410836503955,52998083837766189537418,True
331,1625378554,-410836272031,52998082869164438369320,True
332,1625378179,-410807281906,52997961793945542357063,True
333,1625378176,-410807050054,52997960825343791188965,True
334,1625378121,-410802800039,52997955267064277023129,True
335,1625377853,-410782092215,52997928183084098905963,True
336,1625377618,-410763936350,52997904434071629288298,True
337,1625377558,-410759301290,52997898370493977471022,True
338,1625377516,-410756056958,52997894125989621198929,True
339,1625377513,-410755825220,52997893822810881190138,True
340,1625377485,-410753662528,52997890993142641108085,True
341,1625377396,-410746788435,52997881998840020847271,True
342,1625377344,-410742774919,52997876750437110702615,True
343,1625377321,-410740999825,52997874429028131215556,True
344,1625377309,-410740073905,52997873298631001448608,True
345,1625377289,-410738531525,52997871414635785170360,True
346,1625377260,-410736295712,52997868683585072174550,True
347,1625377057,-410720645833,52997849566230081203874,True
348,1625376922,-410710238278,52997836853137206599185,True
349,1625376892,-410707925728,52997834028005456687032,True
350,1625376829,-410703069373,52997828094503365763578,True
351,1625376677,-410691353821,52997813778752289249848,True
352,1625376417,-410671316661,52997789291283342581625,True
353,1625376253,-410658678821,52997773845341391606285,True
354,1625373988,-410484151511,52997560521813836977342,True
355,1625373799,-410469588305,52997542721307564206980,True
356,1625373245,-410426903159,52997490544162193229305,True
357,1625373209,-410424129827,52997487008271115708798,True
358,1625373191,-410422743323,52997485240325576948545,True
359,1625372634,-410379840955,52997430532233071978475,True
360,1625372634,-410379840955,52997430532233071978475,True
361,1625372269,-410351727560,52997394682226313784444,True
362,1625370810,-410239372888,52997251380418477606110,True
363,1625370177,-410190626824,52997189204929102051202,True
364,1625368247,-410042007174,52996999633531795856932,True
365,1625368197,-410038157174,52996994722355699841537,True
366,1625368174,-410036386335,52996992463214695674456,True
367,1625367866,-410012672799,52996962210369944219620,True
368,1625366947,-409941917151,52996871897656972872794,True
369,1625365971,-409866777839,52996775983393795468548,True
370,1625365876,-409859464454,52996766647476785372848,True
371,1625365208,-409808055174,52996698700363795980412,True
372,1625365043,-409795356774,52996681915820981234053,True
373,1625364850,-409780504073,52996662282992113076191,True
374,1625363468,-409674156409,52996521699730476836990,True
375,1625361846,-409549340265,52996356688208984751701,True
376,1625361840,-409548878535,52996356077808781944974,True
377,1625361807,-409546338855,52996352720607666507974,True
378,1625361730,-409540412319,52996344887138397154974,True
379,1625361322,-409509008151,52996303379924606297516,True
380,1625361316,-409508546313,52996302769524403490789,True
381,1625361145,-409495383588,52996285373118623499060,True
382,1625360918,-409477910263,52996262272314346912668,True
383,1625360888,-409475600953,52996259219344618729445,True
384,1625360862,-409473599473,52996256573437520970652,True
385,1625360823,-409470597097,52996252739035186424270,True
386,1625360766,-409466208724,52996247134908697471865,True
387,1625360731,-409463513829,52996243693778397237932,True
388,1625360212,-409423543563,52996192666731945197606,True
389,1625359938,-409402440083,52996165727597594794814,True
390,1625359911,-409400360543,52996163072947014176745,True
391,1625359671,-409381872623,52996139476052964238349,True
392,1625359551,-409372627583,52996128163457047174475,True
393,1625359515,-409369853999,52996124769678272055313,True
394,1625359214,-409346661347,52996096393916846753430,True
395,1625358027,-409255199436,52995984493488900463277,True
396,1625357588,-409221373169,52995943091660336434277,True
397,1625357068,-409181301449,52995894050770010021794,True
398,1625356998,-409175907249,52995887449111696850883,True
399,1625356972,-409173903871,52995884997067180530259,True
400,1625356972,-409173903871,52995884997067180530259,True
401,1625356964,-409173287455,52995884242591944739298,True
402,1625356611,-409146088452,52995850951372165463132,True
403,1625356422,-409131526002,52995833126894719901672,True
404,1625356396,-409129522754,52995830674850203581048,True
405,1625356387,-409128829358,52995829826065563316217,True
406,1625356213,-409115424572,52995812711168301143297,True
407,1625356212,-409115347541,52995812612806822625062,True
408,1625356123,-409108492049,52995803858635234502132,True
409,1625355709,-409076604113,52995763136983127952770,True
410,1625355540,-409063587057,52995746513770451959404,True
411,1625355419,-409054267153,52995734592333220448494,True
412,1625355403,-409053035377,52995733015944826199118,True
413,1625355366,-409050186932,52995729370546664497435,True
414,1625355358,-409049571116,52995728554653388197298,True
415,1625355336,-409047877798,52995726310946878371920,True
416,1625355335,-409047800834,52995726208960218834403,True
417,1625355256,-409041720915,52995718152014115370546,True
418,1625353076,-408873950295,52995495821096323583075,True
419,1625352974,-408866100681,52995485418457050756322,True
420,1625352738,-408847941661,52995461349605399902266,True
421,1625351679,-408766462201,52995353345732949671564,True
422,1625351632,-408762845457,52995348552359951408257,True
423,1625351612,-408761306377,52995346512626760657914,True
424,1625351599,-408760305962,52995345186800186670191,True
425,1625351593,-408759844214,52995344574880229445088,True
426,1625351298,-408737140719,52995314488815665877518,True
427,1625351296,-408736986795,52995314284842346802484,True
428,1625351288,-408736371035,52995313468949070502347,True
429,1625351262,-408734369659,52995310817295922526901,True
430,1625350475,-408673775381,52995233278691780385690,True
431,1625349552,-408602737609,52995139145005027257325,True
432,1625349519,-408600196411,52995135893703964117986,True
433,1625349427,-408593111767,52995126829470697184071,True
434,1625349063,-408565062291,52995092446375165534582,True
435,1625346837,-408393528957,52994881931528463243028,True
436,1625346451,-408363784183,52994845426927446745129,True
437,1625344168,-408187858486,52994629562434169847221,True
438,1625343412,-408129602638,52994558080368065013748,True
439,1625342014,-408021875554,52994425895252859809415,True
440,1625341859,-408009932649,52994411239535508731682,True
441,1625338734,-407769160774,52994115761363107970922,True
442,1625336648,-407608440732,52993918591238353186577,True
443,1625336477,-407595265695,52993902433426799070637,True
444,1625336386,-407588253053,52993893834825328751628,True
445,1625336287,-407580623024,52993884480302850052926,True
446,1625335786,-407542008449,52993837140749700274646,True
447,1625335532,-407522431399,52993813140083687703630,True
448,1625334267,-407424911284,52993693609207680214121,True
449,1625334231,-407422136080,52993690207538481582009,True
450,1625334195,-407419361272,52993686805869282949897,True
451,1625334158,-407416509460,52993683309709273244671,True
452,1625334146,-407415584752,52993682175819540367301,True
453,1625332830,-407314179056,52993557825912168148966,True
454,1625331864,-407239742960,52993466364381359892225,True
455,1625331771,-407232576752,52993457559078704438937,True
456,1625331534,-407214314243,52993435119759034090234,True
457,1625330637,-407145193217,52993350191194712137546,True
458,1625329175,-407032512491,52993211768049741463264,True
459,1625328939,-407014322319,52993189423410744829112,True
460,1625328643,-406991507527,52993161312025555159824,True
461,1625328507,-406981025055,52993148393011407388980,True
462,1625327940,-406937322396,52993094774109966499864,True
463,1625327755,-406923063151,52993077226310133270741,True
464,1625327550,-406907262366,52993057781844929094827,True
465,1625326896,-406856854008,52992995821217947539404,True
466,1625326874,-406855158292,52992993736915510850996,True
467,1625326689,-406840898677,52992976209826838698469,True
468,1625326560,-406830955486,52992963935061474956794,True
469,1625326365,-406815924301,52992945380183599533332,True
470,1625324407,-406664972291,52992759070179086306974,True
471,1625322965,-406553801301,52992621832207938319100,True
472,1625322753,-406537457161,52992601655751708517832,True
473,1625322581,-406524197853,52992585286174012641331,True
474,1625320793,-406386368085,52992415118703546204216,True
475,1625320777,-406385134725,52992413595952132634309,True
476,1625320718,-406380587005,52992407980806295095277,True
477,1625320694,-406378737205,52992405696679174740417,True
478,1625320528,-406365943087,52992389898133258952632,True
479,1625320381,-406354614238,52992375907854646779111,True
480,1625320381,-406354614238,52992375907854646779111,True
481,1625320377,-406354305986,52992375527166793386635,True
482,1625320363,-406353227244,52992374194759306512967,True
483,1625320313,-406349374844,52992369436161139107008,True
484,1625319089,-406255070540,52992252945678001009118,True
485,1625319084,-406254685320,52992252469818184268523,True
486,1625318975,-406246287742,52992242096074179323532,True
487,1625318963,-406245363274,52992240870749857347361,True
488,1625318955,-406244746978,52992240053866976029914,True
489,1625318950,-406244361803,52992239543315175206510,True
490,1625318814,-406233885315,52992225656306192809900,True
491,1625317617,-406141682799,52992103430205075686790,True
492,1625317584,-406139140545,52992100060563190252319,True
493,1625317505,-406133053516,52992092541978085750903,True
494,1625317163,-406106700022,52992059993166620694140,True
495,1625316694,-406070560289,52992015333922531158147,True
496,1625316524,-406057460259,52991999146136827061945,True
497,1625316496,-406055302607,52991996479867559171289,True
498,1625316328,-406042356527,52991980482251951827348,True
499,1625316322,-406041894161,52991979910908537279351,True
500,1625316105,-406025170622,52991959247321711126761,True
501,1625315490,-405977771957,52991900684621719956976,True
502,1625313970,-405860624037,52991755871902531067411,True
503,1625313882,-405853842141,52991747488008262236963,True
504,1625313839,-405850529550,52991743093476471110566,True
505,1625313795,-405847140670,52991738596746266237044,True
506,1625313771,-405845292286,52991736143984336306032,True
507,1625313758,-405844291104,52991734815404957593401,True
508,1625313594,-405831663432,52991718054865103064818,True
509,1625313406,-405817188748,52991698841563318605222,True
510,1625313232,-405803793010,52991681059039326605383,True
511,1625312566,-405752522998,52991612994895771019793,True
512,1625312460,-405744362906,52991602161731382317667,True
513,1625312190,-405723577766,52991574571036580853965,True
514,1625312155,-405720883291,52991570994465032516078,True
515,1625312142,-405719882278,52991569666024171704863,True
516,1625312082,-405715262038,52991563534758660268485,True
517,1625311989,-405708100573,52991554031297117542099,True
518,1625311946,-405704789272,52991549637223501012695,True
519,1625311926,-405703249012,52991547593468330533903,True
520,1625311926,-405703249012,52991547593468330533903,True
521,1625311497,-405670209577,52991503754919923763798,True
522,1625311281,-405653573689,52991481682364082592836,True
523,1625311277,-405653265597,52991481273613048497078,True
524,1625311263,-405652187233,52991479842984429161924,True
525,1625311201,-405647411373,52991473507343400677667,True
526,1625311132,-405642096165,52991466456388062525832,True
527,1625309789,-405538634131,52991329218228364874897,True
528,1625309327,-405503042575,52991282005350414388678,True
529,1625309059,-405482396391,52991254617310885553998,True
530,1625307382,-405353203665,52991095890184104049760,True
531,1625307249,-405342957611,52991083301806102348429,True
532,1625305931,-405241421527,52990958551911253077178,True
533,1625305459,-405205073279,52990913876683355614333,True
534,1625305262,-405189902703,52990895230454762817341,True
535,1625305255,-405189363668,52990894567898416880393,True
536,1625303899,-405084957092,52990766221269118237133,True
537,1625303898,-405084880096,52990766126618211657600,True
538,1625302974,-405013735792,52990678678946976734158,True
539,1625302579,-404983344097,52990640956668497250052,True
540,1625300509,-404824076227,52990442342397070660006,True
541,1625300270,-404805687328,52990419347527188823463,True
542,1625299399,-404738671717,52990335546140073617629,True
543,1625299394,-404738286887,52990335065075853668113,True
544,1625299378,-404737055207,52990333525670349829660,True
545,1625299211,-404724203555,52990317458125403515798,True
546,1625299154,-404719817063,52990311973993295670708,True
547,1625299150,-404719509187,52990311589141919681579,True
548,1625299132,-404718123745,52990309857085335361572,True
549,1625299074,-404713659543,52990304276014167140641,True
550,1625298981,-404706502170,52990295327055224993286,True
551,1625298960,-404704886409,52990293306322560637432,True
552,1625298944,-404703655689,52990291765744850815986,True
553,1625298927,-404702348372,52990290128881034130700,True
554,1625298881,-404698811156,52990285699720118394043,True
555,1625298677,-404683124372,52990266057354171405949,True
556,1625298459,-404666361044,52990245066982537906492,True
557,1625298450,-404665668908,52990244200407562211561,True
558,1625298101,-404638849654,52990210548888184043408,True
559,1625297813,-404616721174,52990182779152995182583,True
560,1625297813,-404616721174,52990182779152995182583,True
561,1625297798,-404615568649,52990181332806886482687,True
562,1625297559,-404597206040,52990158287692221197677,True
563,1625297533,-404595208460,52990155780692299451191,True
564,1625297530,-404594977961,52990155491423077711212,True
565,1625297510,-404593442381,52990153561235420236450,True
566,1625297492,-404592060755,52990151824066528509164,True
567,1625297487,-404591677075,52990151344960928574084,True
568,1625297456,-404589298352,52990148374506208976584,True
569,1625297146,-404565514532,52990118669959013001575,True
570,1625296424,-404510137132,52990049487110382375908,True
571,1625295839,-404465267632,52989993429948585120283,True
572,1625295203,-404416478164,52989932485752169642372,True
573,1625295180,-404414713765,52989930281753904037791,True
574,1625295138,-404411491819,52989926257029333846787,True
575,1625294117,-404333167846,52989828417827658256632,True
576,1625293375,-404276246800,52989757311905086357132,True
577,1625293354,-404274635890,52989755299473315454316,True
578,1625293319,-404271951075,52989751945420363949623,True
